5	17
Respostas	4	5	1	2	6	3	6	2	1	3	4	5	4	5	1	6	2	1
Tempos	2514	1087	1028	993	1581	1188	2350	1794	2052	1050	2045	2134	1559	1441	1001	1840	1505	1277
