1	2
Começo: 08/08/2016 08:49:11
Respostas	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Tempos	1754	485	301	331	405	377	316	353	344	367	635	327	498	671	699	584	620	655
